run,events,edges,latency_min_ms,latency_max_ms,latency_mean_ms
1,14,7,1.203,29468.333,6903.414
2,16,9,0.247,28681.139,8448.866
3,16,9,0.222,30230.59,8428.177
4,16,9,0.145,27673.167,8122.655
5,13,6,0.946,29512.888,7168.183
6,15,8,0.815,15425.019,5834.587
7,15,8,0.127,25408.463,8541.037
8,16,9,0.176,26427.064,7456.611
9,15,8,0.09,27409.315,8540.250
10,15,8,0.193,31453.579,9529.737
11,15,8,0.339,30459.567,7799.837
12,14,7,0.481,29449.19,7963.014
13,16,9,0.222,28402.735,8335.666
14,15,8,0.089,26393.586,8299.925
15,15,8,0.188,28438.815,9067.825
16,15,8,0.211,26384.792,8583.287
17,15,8,0.165,26374.019,7256.000
18,16,9,0.17,28447.077,8255.622
19,14,7,0.176,28427.454,8157.828
20,15,8,0.127,26435.755,8624.162
21,14,7,0.177,29470.129,6120.271
22,16,9,0.25,27342.755,8227.777
23,15,8,0.161,27397.002,9161.450
24,15,8,0.168,27387.853,8615.412
25,15,8,0.17,25440.338,8236.987
26,15,8,0.149,27699.844,8271.587
27,15,8,0.293,29461.949,9226.787
28,15,8,0.23,23313.764,7769.000
29,16,9,0.193,29417.123,8048.055
30,15,8,0.19,28448.863,6913.987
